Title,Year,Rating,Votes,Genres,Runtime,Director,Top 3 Cast,Box Office
Million Dollar Baby,2005,8.1,,[],Runtime2 hours 12 minutes,Clint Eastwood,"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman']",216763646.0
Ben-Hur,1959,8.1,,[],Runtime3 hours 32 minutes,William Wyler,"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd']",74439376.0
Mad Max: Fury Road,2015,8.1,,[],Runtime2 hours,George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']",380437267.0
My Neighbor Totoro,1990,8.1,,[],Runtime1 hour 26 minutes,Hayao Miyazaki,"['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto']",30425531.0
Dead Poets Society,1989,8.1,,[],Runtime2 hours 8 minutes,Peter Weir,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke']",235860116.0
Barry Lyndon,1975,8.1,,[],Runtime3 hours 5 minutes,Stanley Kubrick,"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee']",283918.0
Children of Heaven,1999,8.2,,[],Runtime1 hour 29 minutes,Majid Majidi,"['Reza Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi']",933933.0
Spider-Man: No Way Home,2021,8.2,,[],Runtime2 hours 28 minutes,Jon Watts,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']",1921426073.0
Hacksaw Ridge,2016,8.1,,[],Runtime2 hours 19 minutes,Mel Gibson,"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey']",180563636.0
12 Years a Slave,2013,8.1,,[],Runtime2 hours 14 minutes,Steve McQueen,"['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender']",187734091.0
The Grand Budapest Hotel,2014,8.1,,[],Runtime1 hour 39 minutes,Wes Anderson,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric']",174567384.0
Before Sunrise,1995,8.1,,[],Runtime1 hour 41 minutes,Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert']",6568450.0
Blade Runner,1982,8.1,,[],Runtime1 hour 57 minutes,Ridley Scott,"['Harrison Ford', 'Rutger Hauer', 'Sean Young']",41767218.0
Memories of Murder,2003,8.1,,[],Runtime2 hours 12 minutes,Bong Joon Ho,"['Song Kang-ho', 'Kim Sang-kyung', 'Kim Roe-ha']",1210568.0
Gone Girl,2014,8.1,,[],Runtime2 hours 29 minutes,David Fincher,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris']",370890259.0
Ratatouille,2007,8.1,,[],Runtime1 hour 51 minutes,Brad Bird,"['Brad Garrett', 'Lou Romano', 'Patton Oswalt']",623730087.0
How to Train Your Dragon,2010,8.1,,[],Runtime1 hour 38 minutes,Dean DeBlois,"['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse']",494879860.0
"Monsters, Inc.",2001,8.1,,[],Runtime1 hour 32 minutes,Pete Docter,"['Billy Crystal', 'John Goodman', 'Mary Gibbs']",579770299.0
In the Name of the Father,1994,8.1,,[],Runtime2 hours 13 minutes,Jim Sheridan,"['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie']",65796862.0
Wild Tales,2014,8.1,,[],Runtime2 hours 2 minutes,Damián Szifron,"['Darío Grandinetti', 'María Marull', 'Mónica Villa']",31478893.0
The Gold Rush,1925,8.1,,[],Runtime1 hour 35 minutes,Charles Chaplin,"['Charles Chaplin', 'Mack Swain', 'Tom Murray']",33626.0
Jaws,1975,8.1,,[],Runtime2 hours 4 minutes,Steven Spielberg,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss']",477916625.0
Sherlock Jr.,1924,8.2,,[],Runtime45 minutes,Buster Keaton,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton']",399.0
